date,department,total_beds,occupied_beds
2025-01-01,Pediatrics,64,46
2025-01-02,Emergency,64,42
2025-01-03,Emergency,64,41
2025-01-04,Emergency,64,46
2025-01-05,Cardiology,64,44
2025-01-06,Emergency,64,46
2025-01-07,Cardiology,64,48
2025-01-08,Pediatrics,64,44
2025-01-09,Cardiology,64,43
2025-01-10,Cardiology,64,48
2025-01-11,Emergency,64,46
2025-01-12,Emergency,64,48
2025-01-13,Pediatrics,64,44
2025-01-14,Pediatrics,64,48
2025-01-15,Emergency,64,51
2025-01-16,Emergency,64,51
2025-01-17,Pediatrics,64,47
2025-01-18,Emergency,64,46
2025-01-19,Cardiology,64,50
2025-01-20,Pediatrics,64,52
2025-01-21,Pediatrics,64,51
2025-01-22,Cardiology,64,49
2025-01-23,Cardiology,64,51
2025-01-24,Pediatrics,64,55
2025-01-25,Pediatrics,64,51
2025-01-26,Pediatrics,64,46
2025-01-27,Cardiology,64,52
2025-01-28,Pediatrics,64,57
2025-01-29,Pediatrics,64,47
2025-01-30,Emergency,64,51
2025-01-31,Emergency,64,50
2025-02-01,Pediatrics,64,51
2025-02-02,Emergency,64,51
2025-02-03,Pediatrics,64,54
2025-02-04,Cardiology,64,51
2025-02-05,Emergency,64,54
2025-02-06,Cardiology,64,50
2025-02-07,Pediatrics,64,49
2025-02-08,Pediatrics,64,48
2025-02-09,Cardiology,64,44
2025-02-10,Emergency,64,50
2025-02-11,Pediatrics,64,55
2025-02-12,Pediatrics,64,50
2025-02-13,Cardiology,64,51
2025-02-14,Cardiology,64,47
2025-02-15,Cardiology,64,47
2025-02-16,Emergency,64,50
2025-02-17,Emergency,64,53
2025-02-18,Emergency,64,51
2025-02-19,Pediatrics,64,49
2025-02-20,Emergency,64,46
2025-02-21,Cardiology,64,46
2025-02-22,Cardiology,64,43
2025-02-23,Emergency,64,40
2025-02-24,Pediatrics,64,41
2025-02-25,Emergency,64,44
2025-02-26,Pediatrics,64,42
2025-02-27,Pediatrics,64,38
2025-02-28,Pediatrics,64,42
2025-03-01,Emergency,64,41
2025-03-02,Pediatrics,64,38
2025-03-03,Cardiology,64,40
2025-03-04,Cardiology,64,40
2025-03-05,Pediatrics,64,38
2025-03-06,Cardiology,64,43
2025-03-07,Emergency,64,34
2025-03-08,Emergency,64,33
2025-03-09,Cardiology,64,39
2025-03-10,Cardiology,64,39
2025-03-11,Emergency,64,39
2025-03-12,Emergency,64,36
2025-03-13,Pediatrics,64,34
2025-03-14,Cardiology,64,37
2025-03-15,Pediatrics,64,35
2025-03-16,Emergency,64,41
2025-03-17,Emergency,64,35
2025-03-18,Emergency,64,36
2025-03-19,Cardiology,64,43
2025-03-20,Pediatrics,64,35
2025-03-21,Cardiology,64,37
2025-03-22,Emergency,64,37
2025-03-23,Pediatrics,64,37
2025-03-24,Cardiology,64,36
2025-03-25,Cardiology,64,36
2025-03-26,Emergency,64,35
2025-03-27,Cardiology,64,33
2025-03-28,Cardiology,64,36
2025-03-29,Pediatrics,64,41
2025-03-30,Emergency,64,39
2025-03-31,Emergency,64,36
2025-04-01,Pediatrics,64,38
2025-04-02,Cardiology,64,33
2025-04-03,Emergency,64,35
2025-04-04,Emergency,64,39
2025-04-05,Cardiology,64,40
2025-04-06,Cardiology,64,34
2025-04-07,Emergency,64,35
2025-04-08,Cardiology,64,43
2025-04-09,Pediatrics,64,37
2025-04-10,Pediatrics,64,43
2025-04-11,Cardiology,64,38
2025-04-12,Cardiology,64,39
2025-04-13,Cardiology,64,37
2025-04-14,Emergency,64,42
2025-04-15,Emergency,64,43
2025-04-16,Pediatrics,64,36
2025-04-17,Emergency,64,39
2025-04-18,Pediatrics,64,43
2025-04-19,Emergency,64,40
2025-04-20,Pediatrics,64,40
2025-04-21,Pediatrics,64,45
2025-04-22,Pediatrics,64,45
2025-04-23,Pediatrics,64,41
2025-04-24,Emergency,64,44
2025-04-25,Cardiology,64,40
2025-04-26,Cardiology,64,41
2025-04-27,Cardiology,64,45
2025-04-28,Emergency,64,45
